_id,nps,County,State   ,Full Part Time    ,Gender,Ethnic Group Description,Date of Birth.,Payment Frequency,Contract Type
58e7df1bd7aff30100ae18ba,1,Little River,AR,Part Time,Female,American Ethnicities,2/03/1988,2-Weekly,Permanent
58e7e03bd7aff30100ae18bb,1,Broward,FL,Part Time,Male,American Ethnicities,27/09/1995,2-Weekly,Permanent
58e8cfe5d7aff30100ae18c5,1,Jefferson,NY,Part Time,Female,American Ethnicities,11/11/1996,2-Weekly,Permanent
58e92430d7aff30100ae18d7,1,Franklin,NY,Full Time,Female,White,12/02/1987,Monthly,Permanent
58ea0f49d7aff30100ae18db,1,Monroe,OH,Full Time,Male,Asian or Asian British,13/03/1991,Monthly,Permanent
58ea48c3a4f5930100cea82a,1,Montgomery,NY,Full Time,Male,White,4/12/1989,Monthly,Permanent
58eb8d9ba4f5930100cea83d,1,Lancaster,PA,Full Time,Female,White,4/07/1980,Monthly,Permanent
58ef7a2fa4f5930100cea856,1,Breckinridge,KY,Full Time,Male,White,8/01/1982,Monthly,Permanent
58ef8172d7aff30100ae1903,1,Botetourt,VA,Full Time,Male,White,9/11/1983,Monthly,Permanent
58f0fefbd7aff30100ae191b,1,Northampton,PA,Full Time,Male,White,24/04/1987,Monthly,Permanent
58f10426d7aff30100ae191e,1,Putnam,OH,Full Time,Male,White,7/11/1964,Monthly,Permanent
58e89fabd7aff30100ae18bf,2,Klamath,OR,Part Time,Male,American Ethnicities,9/06/1991,2-Weekly,Permanent
58e8d1bbd7aff30100ae18c6,2,Hancock,ME,Part Time,Female,American Ethnicities,20/07/1979,2-Weekly,Permanent
58e8e910d7aff30100ae18ca,2,Champaign,OH,Part Time,Male,American Ethnicities,13/05/1984,2-Weekly,Permanent
58e9101dd7aff30100ae18d0,2,Essex,VA,Full Time,Female,American Ethnicities,28/01/1991,2-Weekly,Fixed Term
58e916e9d7aff30100ae18d2,2,Hancock,MS,Full Time,Male,American Ethnicities,25/02/1982,2-Weekly,Permanent
58e92396d7aff30100ae18d5,2,Woodbury,IA,Full Time,Male,White,28/05/1986,Monthly,Permanent
58ea1770d7aff30100ae18dd,2,Grant,NE,Full Time,Male,White,13/04/1995,Monthly,Permanent
58ea2a7da4f5930100cea827,2,Columbia,OR,Full Time,Female,White,16/06/1993,Monthly,Permanent
58eb7ceda4f5930100cea836,2,Clearfield,PA,Full Time,Female,White,28/10/1986,Monthly,Permanent
58eb81e1a4f5930100cea83a,2,Union,OR,Full Time,Male,White,27/06/1989,Monthly,Permanent
58eb9d8ca4f5930100cea842,2,Dutchess,NY,Full Time,Female,Chinese,13/02/1986,Monthly,Permanent
58ef4f01a4f5930100cea852,2,Dinwiddie,VA,Full Time,Male,White,20/08/1983,Monthly,Permanent
58ef5c96a4f5930100cea853,2,Marin,CA,Full Time,Male,Black or Black British,22/01/1980,Monthly,Permanent
58ef8a86d7aff30100ae1906,2,Midland,TX,Full Time,Male,White,11/06/1979,Monthly,Permanent
58efb8e6d7aff30100ae190c,2,York,NE,Full Time,Female,White,9/10/1989,Monthly,Permanent
58efbf3ba4f5930100cea866,2,Orange,NY,Full Time,Male,White,8/09/1978,Monthly,Permanent
58f0a302d7aff30100ae1912,2,Hancock,ME,Full Time,Female,White,8/05/1970,Monthly,Permanent
58f0cb1ed7aff30100ae1917,2,Dona Ana,NM,Full Time,Male,White,29/12/1986,Monthly,Permanent
58f0d392d7aff30100ae1918,2,Anne Arundel,MD,Full Time,Female,Chinese,7/06/1977,Monthly,Permanent
58f109d4d7aff30100ae191f,2,Bucks,PA,Full Time,Male,White,2/01/1986,Monthly,Permanent
58f23b6da4f5930100cea885,2,Chesterfield,SC,Full Time,Male,Chinese,1/10/1982,Monthly,Permanent
58f24849d7aff30100ae192e,2,Spokane,WA,Full Time,Female,White,12/09/1969,Monthly,Permanent
58e808e7d7aff30100ae18bc,3,Harris,TX,Part Time,Male,American Ethnicities,3/11/1992,2-Weekly,Permanent
58e8a942a4f5930100cea814,3,Dallas,TX,Part Time,Female,American Ethnicities,3/07/1994,Monthly,Permanent
58e8c527a4f5930100cea816,3,Johnson,MO,Full Time,Female,American Ethnicities,8/05/1981,2-Weekly,Permanent
58e90da9a4f5930100cea81d,3,Putnam,NY,Part Time,Female,American Ethnicities,2/11/1988,2-Weekly,Fixed Term
58e91e56d7aff30100ae18d4,3,Crawford,PA,Full Time,Male,American Ethnicities,1/08/1983,2-Weekly,Permanent
58ea45f3a4f5930100cea828,3,Smith,TX,Full Time,Male,White,16/07/1975,Monthly,Permanent
58eb608cd7aff30100ae18e8,3,Mercer,PA,Full Time,Male,White,8/09/1981,Monthly,Permanent
58eb7191a4f5930100cea833,3,Merced,CA,Full Time,Male,White,9/09/1951,Monthly,Permanent
58eb7ecca4f5930100cea838,3,Windsor,VT,Full Time,Female,White,7/02/1991,Monthly,Permanent
58eb94c1d7aff30100ae18ef,3,Butler,PA,Full Time,Male,White,29/06/1980,Monthly,Permanent
58eb9abfd7aff30100ae18f0,3,Redwood,MN,Full Time,Male,White,24/12/1970,Monthly,Permanent
58ebac68d7aff30100ae18f4,3,Lake,MT,Full Time,Female,White,5/11/1989,Monthly,Permanent
58ebb21ad7aff30100ae18f5,3,Beaver,PA,Full Time,Male,White,17/07/1990,Monthly,Permanent
58ebc401a4f5930100cea848,3,Washington,ME,Full Time,Female,White,8/10/1980,Monthly,Permanent
58ebd01aa4f5930100cea84b,3,Montgomery,MD,Full Time,Male,White,11/12/1970,Monthly,Permanent
58ebf61aa4f5930100cea84d,3,Baraga,MI,Full Time,Male,White,1/05/1983,Monthly,Permanent
58ef4f00d7aff30100ae1900,3,Delta,CO,Full Time,Male,White,8/01/1982,Monthly,Permanent
58ef6a6ba4f5930100cea854,3,Ulster,NY,Full Time,Female,White,12/10/1981,Monthly,Permanent
58ef8de8a4f5930100cea85c,3,Brown,MN,Full Time,Male,White,30/10/1980,Monthly,Permanent
